dataset_name	uuid	system	path
TCGA-86-A4P8-10A-01D-A24P-08.wxs.N.hg38	8412ee12-1ec2-48cf-9d99-af34faab8dc0	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/8412ee12-1ec2-48cf-9d99-af34faab8dc0/C509.TCGA-86-A4P8-10A-01D-A24P-08.3_gdc_realn.bam
TCGA-91-A4BC-01A-11D-A24D-08.wxs.T.hg38	e2cd0c2c-7694-4399-9a41-36cb25f443f5	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/e2cd0c2c-7694-4399-9a41-36cb25f443f5/C509.TCGA-91-A4BC-01A-11D-A24D-08.2_gdc_realn.bam
TCGA-91-A4BC-10A-01D-A24F-08.wxs.N.hg38	d024f79d-4a19-4819-8ea9-4452fe15e925	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d024f79d-4a19-4819-8ea9-4452fe15e925/C509.TCGA-91-A4BC-10A-01D-A24F-08.2_gdc_realn.bam
TCGA-91-A4BC.ATAC-Seq.T.hg38	cf2b3454-475e-4968-8762-ea8b38feac6a	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/cf2b3454-475e-4968-8762-ea8b38feac6a/88983ae5-6c8e-4ff2-a271-50e997c0184a_atacseq_gdc_realn.bam
TCGA-91-A4BD-01A-11D-A24D-08.wxs.T.hg38	680046b3-9394-4c0a-8304-c436d988d777	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/680046b3-9394-4c0a-8304-c436d988d777/C509.TCGA-91-A4BD-01A-11D-A24D-08.1_gdc_realn.bam
TCGA-91-A4BD-10A-01D-A24F-08.wxs.N.hg38	5c5430dc-0623-4c23-886e-81ac6814e711	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/5c5430dc-0623-4c23-886e-81ac6814e711/C509.TCGA-91-A4BD-10A-01D-A24F-08.2_gdc_realn.bam
TCGA-91-A4BD.ATAC-Seq.T.hg38	7b6fe7ec-1b17-4a37-bf67-253a66d5f893	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/7b6fe7ec-1b17-4a37-bf67-253a66d5f893/44c16d21-aeda-4d11-871d-36bbdd22e7e9_atacseq_gdc_realn.bam
TCGA-93-A4JN-01A-11D-A24P-08.wxs.T.hg38	d25824f8-b973-4e90-932f-c2fc34ecf6b5	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/d25824f8-b973-4e90-932f-c2fc34ecf6b5/C509.TCGA-93-A4JN-01A-11D-A24P-08.3_gdc_realn.bam
TCGA-93-A4JN-10A-01D-A24P-08.wxs.N.hg38	a905eeb2-5a60-4dd0-b4df-5cf8635a2892	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/a905eeb2-5a60-4dd0-b4df-5cf8635a2892/C509.TCGA-93-A4JN-10A-01D-A24P-08.3_gdc_realn.bam
TCGA-93-A4JO-01A-21D-A24P-08.wxs.T.hg38	ce8b2889-5a03-417a-8be9-b442c1c293ec	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/ce8b2889-5a03-417a-8be9-b442c1c293ec/C509.TCGA-93-A4JO-01A-21D-A24P-08.3_gdc_realn.bam
